Game Name,System Full,Units(m),Publisher,Developer,Release Date
Lochjaw,Atari 2600,0,Apollo,Apollo,1/1/1981
Carnival,Atari 2600,0.34,Coleco,Coleco,1/1/1982
Dark Chambers,Atari 2600,0,Atari,Atari,1/1/1988
Fast Food,Atari 2600,0.29,Unknown,Telesys,1/1/1982
Mountain King,Atari 2600,0.31,CBS Electronics,CBS Electronics,1/1/1983
Guardian,Atari 2600,0,Apollo,Apollo,1/1/1982
Pole Position,Atari 2600,1.18,Atari,Atari,1/1/1983
London Blitz,Atari 2600,0,Unknown,Avalon Hill,1/1/1983
Roc'N Rope,Atari 2600,0,Coleco,Coleco,1/1/1984
Sorcerer's Apprentice,Atari 2600,0,Atari,Atari,1/1/1983
Stargate,Atari 2600,0,Atari,Atari,1/1/1984
Dice Puzzle,Atari 2600,0,Panda Entertainment,Panda Entertainment,1/1/1983
Flash Gordon,Atari 2600,0,20th Century Fox Video Games,20th Century Fox Video Games,1/1/1983
No Escape!,Atari 2600,0,Imagic,Imagic,1/1/1983
Human Cannonball,Atari 2600,0,Atari,Atari,1/1/1978
Quick Step,Atari 2600,0,Imagic,Imagic,1/1/1983
Master Builder,Atari 2600,0,Spectravision,Spectravision,1/1/1983
Secret Quest,Atari 2600,0,Atari,Axlon,1/1/1989
Spacechase,Atari 2600,0,Apollo,Apollo,1/1/1981
Stuntman,Atari 2600,0,Panda Entertainment,Panda Entertainment,1/1/1983
Asteroids,Atari 2600,4.31,Atari,Atari,1/1/1981
Time Pilot,Atari 2600,0,Coleco,Konami,1/1/1983
Alien's Return,Atari 2600,0.34,ITT Family Games,Gem International Corporation,1/1/1983
Casino,Atari 2600,0,Atari,Atari,1/1/1978
Beany Bopper,Atari 2600,0,20th Century Fox Video Games,Sirius Software,1/1/1982
Double-Ender: Spike's Peak/Ghost Manor,Atari 2600,0,Xonox,Xonox,1/1/1983
Coconuts,Atari 2600,0,Unknown,Telesys,1/1/1982
Spy Hunter,Atari 2600,0,Sega,Bally Midway,1/1/1983
Super Challenge Football,Atari 2600,0,Mattel Interactive,Mattel,1/1/1982
Double-Ender: Chuck Norris Superkicks / Spike's Peak,Atari 2600,0,Xonox,Xonox,1/1/1983
Golf,Atari 2600,0,Atari,Atari,1/1/1978
Turmoil,Atari 2600,0,20th Century Fox Video Games,20th Century Fox Video Games,1/1/1982
Video Pinball,Atari 2600,0,Atari,Atari,1/1/1981
Video Jogger,Atari 2600,0,Unknown,Exus,1/1/1983
Boing!,Atari 2600,0,First Star Software,First Star Software,1/1/1983
Cookie Monster Munch,Atari 2600,0,Atari,"Children's Computer Workshop, Inc.",1/1/1983
G.I. Joe: Cobra Strike,Atari 2600,0,Parker Bros.,Parker Bros,1/1/1983
Outlaw,Atari 2600,0,Atari,Atari,1/1/1978
Jr. Pac-Man,Atari 2600,0.78,Atari,General Entertainment,1/1/1984
RealSports Baseball,Atari 2600,0.21,Atari,Atari,1/1/1982
Mission 3000 A.D.,Atari 2600,0,Bit Corporation,Quelle,1/1/1983
Skin Diver,Atari 2600,0,Unknown,Sancho,1/1/1983
Cross Force,Atari 2600,0,Spectravision,Spectravision,1/1/1982
Escape From The Mindmaster,Atari 2600,0,Unknown,Starpath Corp.,1/1/1982
Mogul Maniac,Atari 2600,0,Unknown,Amiga,1/1/1982
Gorf,Atari 2600,0,CBS Electronics,CBS Electronics,1/1/1982
Piece O'Cake,Atari 2600,0,US Games,US Games,1/1/1982
Kung Fu Superkicks: Pursuit of The Ninja,Atari 2600,0,Telegames,"Telegames, Inc.",1/1/1987
River Patrol,Atari 2600,0,Tigervision,Tigervision,1/1/1984
Snoopy & The Red Baron,Atari 2600,0,Atari,Atari,1/1/1983
Star Voyager,Atari 2600,0,I.Magic,Imagic,1/1/1982
Swordquest: EarthWorld,Atari 2600,0,Atari,Atari,1/1/1982
DatabaseTestingJP,Atari 2600,0,H2F Informationssysteme GmbH,TalonSoft,1/1/2017
Pinball,Atari 2600,0,Unknown,Zellers,
Up 'n Down,Atari 2600,0,Sega,Sega,1/1/1984
Beat 'Em & Eat 'Em,Atari 2600,0,Mystique,Mystique,1/1/1982
Pick 'n Pile,Atari 2600,0,Unknown,Salu,
Bumper Bash,Atari 2600,0,Spectravision,Spectravision,1/1/1983
Sea Battle,Atari 2600,0,Unknown,INTV,1/1/2000
Space Cavern,Atari 2600,0,Apollo,Apollo,1/1/1981
Stellar Track,Atari 2600,0,Sears,Sears,1/1/1981
Taz,Atari 2600,0,Atari,Atari,1/1/1983
Phoenix,Atari 2600,0.45,Atari,Centuri,1/1/1982
X-Man,Atari 2600,0.63,Unknown,Universal Gamex,1/1/1983
Astroblast,Atari 2600,0.31,Mattel Interactive,Mattel,1/1/1982
Ghostbusters II,Atari 2600,0.21,Unknown,Salu Ltd.,1/1/2070
Chase the Chuckwagon,Atari 2600,0,Spectravision,Spectravision,1/1/1983
Dark Cavern,Atari 2600,0.24,Mattel Interactive,Mattel,1/1/1982
Fire Fighter,Atari 2600,0,Imagic,Imagic,1/1/1982
Mr. Do!,Atari 2600,0.27,Coleco,Coleco,1/1/1983
Hangman,Atari 2600,0.38,Atari,Atari,1/1/1978
Pressure Cooker,Atari 2600,0.15,Activision,Activision,1/1/1983
MagiCard,Atari 2600,0,"CommaVid, Inc.","CommaVid, Inc.",1/1/1982
Megamania,Atari 2600,0,Unknown,Activision,
Big Bird's Egg Catch,Atari 2600,0,Atari,Atari,1/1/1983
Commando Raid,Atari 2600,0,US Games,US Games,1/1/1982
Dolphin,Atari 2600,0.29,Activision,Activision,27/12/1983
Frogger II: Threeedeep!,Atari 2600,0.33,Parker Bros.,Parker Bros,1/1/1984
Oink!,Atari 2600,0,Activision,Activision,27/12/1982
Indy 500,Atari 2600,0.27,Atari,Atari,1/10/1977
Radar Lock,Atari 2600,0,Atari,Atari,1/1/1989
Maze Mania: A Game of Cops 'n Robbers,Atari 2600,0,Sears,Atari,1/1/1978
Sir Lancelot,Atari 2600,0,Xonox,Xonox,1/1/1983
Spike's Peak,Atari 2600,0,Atari,Atari,1/1/1983
Suicide Mission,Atari 2600,0,Unknown,Starpath Corp.,1/1/1983
Chuck Norris Superkicks,Atari 2600,0,Xonox,Xonox,1/1/1983
Towering Inferno,Atari 2600,0,US Games,US Games,1/1/1982
Bachelor Party,Atari 2600,0,Mystique,Mystique,1/1/1982
Pepsi Invaders,Atari 2600,0,Atari,Atari,1/1/1983
Karate,Atari 2600,0.47,Unknown,Ultravision,1/1/1980
RealSports Tennis,Atari 2600,0.5,Atari,Atari,1/1/1983
Slot Racers,Atari 2600,0,Atari,Atari,1/1/1978
Star Fox,Atari 2600,0,Mythicon,Mythicon,1/1/1983
Surround,Atari 2600,0,Atari,Atari,1/1/1978
Aufruhr im Zoo,Atari 2600,0,Quelle,Quelle,1/1/1983
Kung-Fu Master,Atari 2600,0.65,Activision,Activision,12/5/1987
Video Checkers,Atari 2600,0,Atari,Atari,1/1/1978
Yars' Revenge,Atari 2600,0.78,Atari,Atari,1/5/1982
Slots,Atari 2600,0,Sears,Telegames,1/1/1978
Breakout,Atari 2600,0,Atari,Atari,1/1/1978
Cosmic Creeps,Atari 2600,0,Unknown,Telesys,1/1/1982
Eli's Ladder,Atari 2600,0,Unknown,Simage,1/1/1982
